Date,Symbol,Company,Price,Insider Name,Insider Position,Buy/Sell,Insider Trading Shares,Shares Change,Price.1,Price Change Since Insider Trade (%),Dividend Yield %
2018-12-14,PFHO,Pacific Health Care Organization Inc,0.95,KUBOTA TOM,"CEO & President, 10% Owner",P,0,0.05,4.7,-79.79,0.0
2018-12-14,MICR,Micron Solutions Inc,3.0,Chambers Jason Russell,Director,P,3,20.27,3.2,-6.25,0.0
2018-12-14,SIF,SIFCO Industries Inc,7.6,Molten Donald C Jr.,Director,P,7,12.99,3.9,94.87,0.0
2018-12-14,GPN,Global Payments Inc,125.93,BALDWIN ROBERT H B JR,Director,S,125,-3.5,102.02,23.44,0.65
2018-12-14,GMRE,Global Medical REIT Inc,16.47,Huang Yanping,10% Owner,P,16,42.66,9.0,83.0,4.95
2018-12-14,TCBK,TriCo Bancshares,44.74,Giese Cory W,EVP Wholesale Banking,S,44,-29.81,35.73,25.22,2.17
2018-12-14,TCBK,TriCo Bancshares,44.74,WALKER W VIRGINIA,EVP Wholesale Banking,S,44,-32.73,35.48,26.1,2.17
2018-12-14,SFBS,Servisfirst Bancshares Inc,82.25,TUDER IRMA LOYA,Director,P,82,4.85,34.48,138.54,0.98
2018-12-14,GMRE,Global Medical REIT Inc,16.47,"ZH USA, LLC",10% Owner,P,16,42.66,9.0,83.0,4.95
2018-12-14,MORN,Morningstar Inc,323.62,Mansueto Joseph D,"Executive Chairman, 10% Owner",S,323,-0.11,114.65,182.27,0.39
2018-12-14,SLRC,SLR Investment Corp,19.05,HOCHBERG STEVEN,Director,P,19,25.0,20.35,-6.39,8.63
2018-12-14,CRVL,CorVel Corp,195.35,CORSTAR HOLDINGS INC,10% Owner,S,195,-0.04,65.15,199.85,0.0
2018-12-14,GER,Goldman Sachs MLP and Energy Renaissance Fund,11.08,STRANGHOENER LAWRENCE W,Director,P,11,29.76,5.18,113.9,5.79
2018-12-14,ACRX,AcelRx Pharmaceuticals Inc,0.7192,Angotti Vincent J.,CEO,P,0,7.07,2.78,-74.13,0.0
2018-12-14,RGSEQ,Real Goods Solar Inc,0.0001,LACEY DENNIS J,CEO,P,0,181.82,0.57,-99.98,0.0
2018-12-14,ACRX,AcelRx Pharmaceuticals Inc,0.7192,ASADORIAN RAFFI,CFO,P,0,10.64,2.78,-74.13,0.0
2018-12-14,KRA,Kraton Corp,45.76,Mhetar Vijay,"SVP, Chief Technology Officer",P,45,76.27,23.13,97.84,0.0
2018-12-14,NWPX,Northwest Pipe Co,29.8,ROMAN RICHARD A,Director,S,29,-21.16,23.04,29.34,0.0
2018-12-14,JCS,Communications Systems Inc,3.53,Fandrich Mark,VP/CFO,P,3,30.08,2.47,42.91,0.0
2018-12-14,SLAB,Silicon Laboratories Inc,205.25,Piovaccari Alessandro,SR VP and CTO,S,205,-4.1,82.52,148.73,0.0
2018-12-14,DHCPQ,Ditech Holding Corp,0.0888,COOPERMAN LEON G,10% Owner,S,0,-100.0,0.07,26.86,0.0
2018-12-14,BMRN,Biomarin Pharmaceutical Inc,91.47,BIENAIME JEAN JACQUES,CEO,S,91,-0.42,92.64,-1.26,0.0
2018-12-14,IBTX,Independent Bank Group Inc,71.32,Hobart Brian E,Vice Chairman and CLO,P,71,1.62,49.43,44.28,1.86
2018-12-14,AGTC,Applied Genetic Technologies Corp,2.6,Shearman Mark S,Chief Scientific Officer,S,2,-100.0,3.35,-22.39,0.0
2018-12-14,DCF,BNY Mellon Alcentra Global Credit Income 2024 Targ,9.43,Cronk Kevin L.,PM to Sub-Adviser,P,9,12.15,8.01,17.73,6.36
2018-12-14,BLDR,Builders FirstSource Inc,70.24,MILGRIM BRETT N,Director,S,70,-26.35,11.18,528.26,0.0
2018-12-14,BGSF,BGSF Inc,14.67,Hollenbach Dan,CFO and Secretary,S,14,-9.93,21.94,-33.14,3.01
2018-12-14,VMW,VMware Inc,120.55,BROWN MICHAEL W,Director,S,120,-67.41,160.0,-24.66,0.0
2018-12-14,AGTC,Applied Genetic Technologies Corp,2.6,Washer Susan B.,President and CEO,P,2,11.71,3.34,-22.16,0.0
2018-12-14,DFRG,Del Frisco&prime;s Restaurant Group Inc,7.98,Armistice Capital Master Fund ,10% Owner,P,7,2.96,6.46,23.53,0.0
2018-12-14,WMT,Walmart Inc,142.39,WALTON S ROBSON,"Director, 10% Owner",S,142,-0.05,92.69,53.62,1.53
2018-12-14,WMT,Walmart Inc,142.39,WALTON JIM C,10% Owner,S,142,-0.05,92.69,53.62,1.53
2018-12-14,HPR,HighPoint Resources Corp,4.73,Lancaster Lori A,Director,P,4,113.38,2.62,80.53,0.0
2018-12-14,PATK,Patrick Industries Inc,80.0,WELCH M SCOTT,Director,P,80,12.32,30.35,163.59,1.37
2018-12-14,WMT,Walmart Inc,142.39,WALTON ALICE L,10% Owner,S,142,-0.05,92.69,53.62,1.53
2018-12-14,MICR,Micron Solutions Inc,3.0,Chambers Jason Russell,Director,P,3,18.28,3.2,-6.25,0.0
2018-12-14,RARX,Ra Pharmaceuticals Inc,47.99,NEW ENTERPRISE ASSOCIATES 13 L,10% Owner,P,47,11.75,15.5,209.61,0.0
2018-12-14,AEO,American Eagle Outfitters Inc,26.93,McLean Andrew J.,EVP & Chief Commercial Officer,S,26,-50.0,18.26,47.48,2.36
2018-12-14,RARX,Ra Pharmaceuticals Inc,47.99,Shah Rajeev M.,"Director, 10% Owner",P,47,26.13,15.5,209.61,0.0
2018-12-14,CARB,Carbonite Inc,22.98,ALI MOHAMAD,CEO and President,S,22,-2.6,26.5,-13.28,0.0
2018-12-14,DOCU,DocuSign Inc,263.34,Meeker Mary G,Director,S,263,-4.24,42.98,512.7,0.0
2018-12-14,JAZZ,Jazz Pharmaceuticals PLC,128.37,Hooper Suzanne Sawochka,EVP & General Counsel,S,128,-7.49,140.21,-8.44,0.0
2018-12-14,CODI,Compass Diversified Holdings,31.07,Anholt Investments Ltd.,10% Owner,P,31,0.84,13.83,124.66,4.62
2018-12-14,AGTC,Applied Genetic Technologies Corp,2.6,Rosen James,Director,P,2,100.0,3.38,-23.08,0.0
2018-12-14,AGTC,Applied Genetic Technologies Corp,2.6,Aliski William,Director,P,2,240.0,3.25,-20.0,0.0
2018-12-14,AGTC,Applied Genetic Technologies Corp,2.6,Sullivan William A.,CFO,P,2,100.0,3.33,-21.92,0.0
2018-12-14,CLUBQ,Town Sports International Holdings Inc,0.0005,"PW Partners Atlas Fund III, LP",,P,0,0.23,5.98,-99.99,0.0
2018-12-14,FGEN,FibroGen Inc,12.21,Yu K Peony,Chief Medical Officer,S,12,-2.32,38.58,-68.35,0.0
2018-12-14,RMI,"RiverNorth Opportunistic Municipal Income Fund, In",22.72,DIMELLA ROBERT A,Member of Investment Team,P,22,100.0,20.35,11.65,4.85
2018-12-14,ROSEQ,Rosehill Resources Inc,0.0347,Quarls Harry,Director,P,0,7.9,2.81,-98.77,0.0
2018-12-14,ANAB,AnaptysBio Inc,30.8,Suria Hamza,"President, CEO",S,30,-58.12,69.36,-55.59,0.0
2018-12-14,ROSEQ,Rosehill Resources Inc,0.0347,Williford Robert Colby,Vice President of Land,P,0,1.84,2.75,-98.74,0.0
2018-12-14,CWST,Casella Waste Systems Inc,86.88,PETERS GREGORY B,Director,S,86,-4.35,30.59,184.01,0.0
2018-12-14,PDEX,Pro-Dex Inc,20.44,HOVDA DAVID,Director,S,20,-66.67,13.09,56.15,0.0
2018-12-14,AMPH,Amphastar Pharmaceuticals Inc,20.51,PRINS RICHARD K,Director,S,20,-4.56,20.65,-0.68,0.0
2018-12-14,AMPH,Amphastar Pharmaceuticals Inc,20.51,Zhang Jack Y.,"CEO & Chief Scientific Officer, 10% Owner",S,20,-0.4,20.48,0.15,0.0
2018-12-14,EOLS,Evolus Inc,6.38,GILL DAVID N,Director,P,6,100.0,12.77,-50.04,0.0
2018-12-14,CODI,Compass Diversified Holdings,31.07,BURNS GORDON M,See Remark (a),P,31,5.43,13.6,128.46,4.62
2018-12-14,OEG,Orbital Energy Group Inc,2.58,CLOUGH WILLIAM J,CEO and President,P,2,5.55,1.55,66.45,0.0
2018-12-14,OCSI,Oaktree Strategic Income Corp,8.5,Carlisle Melvin,CFO,P,8,100.0,8.16,4.17,6.47
2018-12-14,OCSL,Oaktree Specialty Lending Corp,7.37,Carlisle Melvin,CFO,P,7,100.0,4.32,70.6,6.87
2018-12-14,XOM,Exxon Mobil Corp,60.67,Hansen Neil A,Vice President and Secretary,S,60,-7.74,76.81,-21.01,5.75
2018-12-14,OCSI,Oaktree Strategic Income Corp,8.5,Cohen Richard W.,Director,P,8,22.67,8.17,4.04,6.47
2018-12-14,NG,Novagold Resources Inc,7.63,Lang Gregory A.,President and CEO,S,7,-2.52,3.79,101.32,0.0
2018-12-14,SUMR,Summer Infant Inc,12.5,TRAIN ANDREW MICHAEL,Director,P,12,10.0,0.92,1258.7,0.0
2018-12-14,HIVE,Aerohive Networks Inc,4.44,SCHAEPE CHRISTOPHER J,Director,S,4,-2.84,3.46,28.32,0.0
2018-12-14,MSBI,Midland States Bancorp Inc,25.0,McDonnell Jeffrey M,Director,P,25,131.19,22.75,9.89,4.44
2018-12-14,CHKAQ,Chesapeake Energy Corp,3.05,MARTIN R BRAD,Director,P,3,3.11,2.35,29.79,0.0
2018-12-14,DFP,Flaherty & Crumrine Pref&Inc Allocation,28.55,STONE BRADFORD S,AFFILIATED PERSON OF INV. ADV.,P,28,11.53,20.38,40.09,6.85
2018-12-14,IFF,International Flavors & Fragrances Inc,150.03,Winder Investment Pte Ltd,10% Owner,P,150,0.4,135.16,11.0,2.07
2018-12-14,OCUL,Ocular Therapeutix Inc,6.69,Hanley Kevin F.,See Remarks,P,6,100.0,5.5,21.64,0.0
2018-12-14,PRI,Primerica Inc,155.91,Rand Alison S.,Executive VP and CFO,P,155,6.18,66.05,136.05,1.16
2018-12-14,KOP,Koppers Holdings Inc,32.31,BALL M LEROY,President and CEO,P,32,3.97,17.03,89.72,0.0
2018-12-14,SSB,SouthState Corp,81.15,BETHEA PAULA HARPER,Director,P,81,7.4,63.81,27.17,2.37
2018-12-14,WSBF,Waterstone Financial Inc,21.49,Egenhoefer Eric J,Director of Subsidiary,S,21,-18.26,16.16,32.98,3.73
2018-12-14,PKTX,ProtoKinetix Inc,0.09,SMITH CLARENCE EDWARD,"President & CEO, 10% Owner",P,0,0.47,0.08,12.5,0.0
2018-12-14,DSE,Duff & Phelps Select MLP & Midstream Energy Fund I,9.49,BRADLEY WILLIAM PATRICK III,"EVP, CFO and Treasurer",P,9,100.0,4.7,101.91,0.0
2018-12-14,MPC,Marathon Petroleum Corp,60.28,DAVIS STEVEN A,Director,P,60,12.69,62.14,-2.99,3.85
2018-12-14,CIEN,Ciena Corp,60.77,Rothenstein David M,"Sr. VP, General Counsel",S,60,-0.75,34.67,75.28,0.0
2018-12-14,MLM,Martin Marietta Materials Inc,417.43,KORALESKI JOHN J,Director,P,417,19.72,174.07,139.81,0.55
2018-12-14,ZUO,Zuora Inc,22.09,Volpi Michelangelo,Director,S,22,-95.19,18.39,20.12,0.0
2018-12-14,CIEN,Ciena Corp,60.77,MOYLAN JAMES E JR,"SVP Finance, CFO",S,60,-0.57,34.68,75.23,0.0
2018-12-14,CRM,Salesforce.com Inc,301.17,Benioff Marc,Chairman of the Board & co-CEO,S,301,-0.02,138.26,117.83,0.0
2018-12-14,PVH,PVH Corp,116.99,CHIRICO EMANUEL,Chairman & CEO,P,116,4.05,95.51,22.49,0.0
2018-12-14,ARPO,Aerpio Pharmaceuticals Inc,2.2,Satter Muneer A,"Director, 10% Owner",P,2,1.14,2.02,8.91,0.0
2018-12-14,INGN,Inogen Inc,33.15,Huggenberger Raymond,Director,S,33,-52.16,130.45,-74.59,0.0
2018-12-14,CRM,Salesforce.com Inc,301.17,Robbins Cynthia G.,Pres. and Chief People Officer,S,301,-87.31,138.84,116.92,0.0
2018-12-14,MYD,Blackrock Muniyield Fund Inc,14.58,JAECKEL THEODORE R JR,Portfolio Manager,S,14,-45.43,12.91,12.94,4.58
2018-12-14,MVT,Blackrock Munivest Fund II Inc,15.18,JAECKEL THEODORE R JR,Portfolio Manager,S,15,-72.83,13.21,14.91,4.64
2018-12-14,BBF,Blackrock Municipal Inc Invstmt Tr,14.42,JAECKEL THEODORE R JR,Portfolio Manager,P,14,100.0,12.21,18.1,4.2
2018-12-14,SAM,Boston Beer Co Inc,464.75,KOCH C JAMES,"Chairman, 10% Owner",S,464,-1.41,275.01,68.99,0.0
2018-12-14,CRMD,Cormedix Inc,5.13,Kaplan Myron,Director,P,5,13.12,1.47,248.98,0.0
2018-12-14,MNR,Monmouth Real Estate Investment Corp,20.85,LANDY EUGENE W,Chairman of the Board,S,20,-0.49,13.84,50.65,3.45
2018-12-14,TCBK,TriCo Bancshares,44.74,Giese Cory W,Director,S,44,-32.21,35.73,25.22,2.17
2018-12-14,UMH,UMH Properties Inc,23.4,LANDY EUGENE W,Chairman of the Board,S,23,-0.69,12.85,82.1,3.26
2018-12-14,TCBK,TriCo Bancshares,44.74,WALKER W VIRGINIA,Director,S,44,-32.73,35.48,26.1,2.17
2018-12-14,VLY,Valley National Bancorp,14.33,LARUSSO MICHAEL L,Director,S,14,-9.1,9.32,53.76,3.08
2018-12-14,FSCT,ForeScout Technologies Inc,28.99,Milliken Darren J.,"SVP, GC & Corp Compliance Ofcr",S,28,-100.0,26.81,8.13,0.0
2018-12-14,AZO,AutoZone Inc,1859.68,Wright Kristen C.,"Sr. VP, Sec. & Gen Counsel",S,1859,-87.25,885.0,110.13,0.0
2018-12-14,CTT,CatchMark Timber Trust Inc,8.34,Barag Jerry,CEO & President,P,8,1.11,7.94,5.04,6.48
2018-12-14,RVP,Retractable Technologies Inc,8.7,SHAW THOMAS J,"President and CEO, 10% Owner",P,8,0.09,0.65,1238.46,0.0
2018-12-14,FRST,Primis Financial Corp,15.39,Burch Daniel H,Director,P,15,100.0,13.77,11.76,2.6
2018-12-14,ENB,Enbridge Inc,39.72,Neiles Byron C,See Remarks,S,39,-49.64,43.1,-7.84,6.75
2018-12-14,LOB,Live Oak Bancshares Inc,97.08,Seward Gregory W,General Counsel,P,97,20.0,15.56,523.91,0.12
2018-12-14,TOL,Toll Brothers Inc,65.99,SHAPIRO PAUL E,Director,S,65,-4.88,32.18,105.07,0.93
2018-12-14,OFC,Corporate Office Properties Trust,27.12,BUDORICK STEPHEN E,President & CEO,P,27,0.96,22.42,20.96,4.07
2018-12-13,LOB,Live Oak Bancshares Inc,97.08,Hoffsis Glen F.,Director,P,97,4.54,15.3,534.51,0.12
2018-12-13,LII,Lennox International Inc,323.82,Sessa Daniel M,"EVP, Chief HR Officer",S,323,-2.9,215.83,50.03,1.04
2018-12-13,ARMK,Aramark,36.49,SADOVE STEPHEN I,Director,P,36,19.16,32.72,11.52,1.21
2018-12-13,LOB,Live Oak Bancshares Inc,97.08,Garriott Huntley,"President, Live Oak Bank",P,97,16.67,15.13,541.64,0.12
2018-12-13,CTSH,Cognizant Technology Solutions Corp,81.99,Kandiah Gajakarnan Vibushanan,President - Digital Business,S,81,-9.64,69.0,18.83,1.16
2018-12-13,NHI,National Health Investors Inc,55.94,Gaines Kristin Sallee,Chief Credit Officer,S,55,-21.8,80.36,-30.39,7.13
2018-12-13,BOCH,Bank of Commerce Holdings Inc,15.17,Sundquist James A,EVP & CFO,P,15,1.9,10.7,41.78,1.58
2018-12-13,AMPH,Amphastar Pharmaceuticals Inc,20.51,Zhang Jack Y.,"CEO & Chief Scientific Officer, 10% Owner",S,20,-1.2,21.29,-3.66,0.0
2018-12-13,QCOM,Qualcomm Inc,185.0,Rosenberg Donald J,EVP & General Counsel,S,185,-28.75,58.01,218.91,1.42
2018-12-13,JBLU,JetBlue Airways Corp,14.4,Hayes Robin,CEO,S,14,-0.57,17.7,-18.64,0.0
2018-12-13,AMPH,Amphastar Pharmaceuticals Inc,20.51,Applied Physics & Chemistry La,10% Owner,S,20,-1.79,21.29,-3.66,0.0
2018-12-13,MDRX,Allscripts Healthcare Solutions Inc,17.11,Poulton Richard J.,President,S,17,-12.06,9.82,74.24,0.0
2018-12-13,AIMD,Ainos Inc,0.65,CHEN STEPHEN T,"President, Chairman & CEO, 10% Owner",P,0,0.09,0.24,170.83,0.0
2018-12-13,EAST,Eastern Security & Protection Services Inc,3.05,GLENBROOK CAPITAL LP,,P,3,1.55,6.1,-50.0,0.0
2018-12-13,HEAR,Turtle Beach Corp,26.74,"SG VTB Holdings, LLC",10% Owner,S,26,-13.92,17.3,54.57,0.0
2018-12-13,RNG,RingCentral Inc,229.8,Shmunis Vladimir,"CEO & Chairman, 10% Owner",S,229,-16.34,85.67,168.24,0.0
2018-12-13,JNJ,Johnson & Johnson,162.89,Kapusta Ronald A,"Controller, CAO",S,162,-20.18,147.31,10.58,2.54
2018-12-13,CBRL,Cracker Barrel Old Country Store Inc,141.95,"BIGLARI, SARDAR",10% Owner,S,141,-2.88,175.03,-18.9,1.62
2018-12-13,BH,Biglari Holdings Inc,145.95,"BIGLARI, SARDAR","Chairman and CEO, 10% Owner",P,145,0.12,555.67,-73.73,0.0
2018-12-13,CVA,Covanta Holding Corp,20.23,Stauder Paul E.,"President, Covanta Envir. Sol.",S,20,-3.09,15.6,29.68,1.58
2018-12-13,PHX,PHX Minerals Inc,2.61,DELANEY PETER B,Director,P,2,90.79,16.07,-83.76,1.52
2018-12-13,CHSP,Chesapeake Lodging Trust,27.17,Nuechterlein Jeffrey D,Director,S,27,-7.07,28.45,-4.5,5.89
2018-12-13,KRG,Kite Realty Group Trust,21.86,Kite John A,Chairman & CEO,S,21,-24.4,16.21,34.86,3.12
2018-12-13,ROX,Castle Brands Inc,1.26,LAMPEN RICHARD,President and CEO,P,1,0.27,0.81,55.56,0.0
2018-12-13,LE,Lands' End Inc,27.73,GRAY PETER L,"EVP, CAO & General Counsel",P,27,20.2,14.0,98.07,0.0
2018-12-13,REZI,Resideo Technologies Inc,27.26,Kelly Stephen Montgomery,See Remarks,P,27,415.16,21.6,26.2,0.0
2018-12-13,LE,Lands' End Inc,27.73,GOOCH JAMES F,"EVP, COO, CFO and Treasurer",P,27,25.37,13.98,98.35,0.0
2018-12-13,CUE,Cue Biopharma Inc,14.83,MARLETT CHRISTOPHER A,Director,P,14,0.96,5.06,193.08,0.0
2018-12-13,X,United States Steel Corp,24.52,Bradley Kevin,EVP & CFO,P,24,9.41,20.33,20.61,0.33
2018-12-13,OPTN,OptiNose Inc,1.58,Miller Peter K,CEO,P,1,8.49,7.68,-79.43,0.0
2018-12-13,ROX,Castle Brands Inc,1.26,Beaudette John F,Director,P,1,45.25,0.81,55.56,0.0
2018-12-13,CARG,CarGurus Inc,37.9,Patton Kathleen Bender,"Sr. VP, GC and Secretary",S,37,-1.65,35.58,6.52,0.0
2018-12-13,CBKM,Consumers Bancorp Inc,22.5,WOOD RENEE,EVP & CFO,P,22,14.34,20.11,11.88,2.69
2018-12-13,MDRX,Allscripts Healthcare Solutions Inc,17.11,Garrison Greg,Director,P,17,1.61,9.8,74.59,0.0
2018-12-13,WOW,WideOpenWest Inc,19.27,Martin Donald Craig,General Counsel and Secretary,P,19,0.98,7.88,144.54,0.0
2018-12-13,GBL,GAMCO Investors Inc,28.83,GABELLI MARIO J,"Chairman & CEO, 10% Owner",P,28,0.01,18.97,51.98,0.28
2018-12-13,QTRX,Quanterix Corp,46.12,DRISCOLL JOSEPH,CFO,S,46,-82.01,19.21,140.08,0.0
2018-12-13,PMBC,Pacific Mercantile Bancorp,9.4,Christianssen Curt Alan,EVP & CFO,P,9,34.59,7.57,24.17,0.0
2018-12-13,HAYN,Haynes International Inc,43.7,Losch Marlin C III,"VP, Sales and Distribution",S,43,-9.68,29.41,48.59,2.02
2018-12-13,IPI,Intrepid Potash Inc,41.06,Clearway Capital Management Lt,10% Owner,P,41,0.3,3.0,1268.67,0.0
2018-12-13,NYNY,Empire Resorts Inc,9.75,PEARLMAN EMANUEL R,Executive Chairman,S,9,-1.42,10.54,-7.5,0.0
2018-12-13,AREXQ,Approach Resources Inc,0.008,Shaw Ian M.,Chief Accounting Officer,S,0,-28.03,1.25,-99.36,0.0
2018-12-13,EVTC,Evertec Inc,43.39,Vizcarrondo Miguel,Executive Vice President,S,43,-20.42,27.33,58.76,0.46
2018-12-13,YRIV,Yangtze River Port and Logistics Ltd,0.0386,Liu XiangYao,"CEO, 10% Owner",P,0,0.37,5.0,-99.23,0.0
2018-12-13,WSC,WillScot Mobile Mini Holdings Corp,39.49,BARTLETT MARK S.,Director,P,39,72.24,11.95,230.46,0.0
2018-12-13,RP,RealPage Inc,88.72,Chaney William P,EVP Chief Product Officer,S,88,-3.01,51.01,73.93,0.0
2018-12-13,BLFS,BioLife Solutions Inc,50.8,Rice Michael,President & CEO,S,50,-9.58,11.44,344.06,0.0
2018-12-13,BLFS,BioLife Solutions Inc,50.8,Hinson Andrew G,Director,S,50,-8.04,12.05,321.58,0.0
2018-12-13,MHK,Mohawk Industries Inc,177.34,BALCAEN FILIP,Director,P,177,2.73,118.86,49.2,0.0
2018-12-13,RNGR,Ranger Energy Services Inc,10.24,Blossman John Brandon,CFO,P,10,17.39,7.51,36.35,0.0
2018-12-13,FLL,Full House Resorts Inc,9.92,Fanger Lewis A.,"Sr. VP, CFO and Treasurer",P,9,44.12,2.22,346.85,0.0
2018-12-13,KR,The Kroger Co,40.89,DONNELLY MICHAEL JOSEPH,Executive VP and COO,S,40,-8.69,29.6,38.14,1.91
2018-12-13,SLCA,US Silica Holdings Inc,9.49,KACAL WILLIAM JENNINGS,Director,P,9,6.77,11.29,-15.94,0.0
2018-12-13,WU,The Western Union Co,16.65,HOLDEN BETSY D,Director,S,16,-8.95,18.64,-10.68,5.58
2018-12-13,GLPI,Gaming and Leisure Properties Inc,46.41,Urdang E Scott,Director,P,46,6.5,34.27,35.42,5.57
2018-12-13,VBIV,VBI Vaccines Inc,2.98,PERCEPTIVE LIFE SCIENCES MASTE,10% Owner,P,2,152.86,1.4,112.86,0.0
2018-12-13,SBT,Sterling Bancorp Inc,5.38,JUDD GARY S,Chairman & CEO,P,5,5.66,8.85,-39.21,0.0
2018-12-13,TRST,Trustco Bank Corp N Y,33.4,CURLEY KEVIN M,SENIOR VICE PRESIDENT & COO,P,33,2.2,7.06,373.09,4.09
2018-12-13,NMFC,New Mountain Finance Corp,13.63,HAMWEE ROBERT,CEO,P,13,4.35,12.88,5.82,8.81
2018-12-13,RASGQ.PFD,RAIT Financial Trust,0.0,Amster Howard,10% Owner,P,0,2.02,2.8,,0.0
2018-12-13,HMSY,HMS Holdings Corp,36.975,South Teresa,"EVP HR, Chief Admin. Officer",S,36,-10.98,34.74,6.43,0.0
2018-12-13,HMSY,HMS Holdings Corp,36.975,Sherman Jeffrey Scott,"EVP, CFO, and Treasurer",S,36,-6.04,34.75,6.4,0.0
2018-12-13,HMSY,HMS Holdings Corp,36.975,LUCIA WILLIAM C,"Chairman, President and CEO",S,36,-1.57,34.72,6.49,0.0
2018-12-13,IAIC,Information Analysis Inc,3.115,REESE STANLEY ARTHUR,COO,S,3,-100.0,0.19,1539.47,0.0
2018-12-13,WMGI,Wright Medical Group NV,29.98,Fisher Patrick,"President, Lower Extremities",S,29,-21.4,27.62,8.54,0.0
2018-12-13,IFF,International Flavors & Fragrances Inc,150.03,Winder Investment Pte Ltd,10% Owner,P,150,0.36,135.95,10.36,2.07
2018-12-13,FATE,Fate Therapeutics Inc,55.97,Nashat Amir,Director,S,55,-0.23,16.67,235.75,0.0
2018-12-13,PHAS,PhaseBio Pharmaceuticals Inc,2.36,Ballance David James,"VP, Research and Sci. Affairs",P,2,15.15,3.94,-40.1,0.0
2018-12-13,BAX,Baxter International Inc,79.26,Shapazian Carole J,Director,S,79,-20.47,66.69,18.85,1.32
2018-12-13,CTT,CatchMark Timber Trust Inc,8.34,REITZ TODD,"SVP, Forest Resources",P,8,52.83,7.84,6.38,6.48
2018-12-13,RCL,Royal Caribbean Group,80.47,Fain Richard D,Chairman & CEO,P,80,1.79,105.6,-23.8,0.0
2018-12-13,GIC,Global Industrial Co,43.61,Clark Thomas Eugene,Vice President & CFO,S,43,-44.73,31.02,40.59,1.48
2018-12-13,NFBK,Northfield Bancorp Inc,17.36,Connors John P Jr,Director,S,17,-5.32,13.39,29.65,2.86
2018-12-13,BRY,Berry Corp (bry),8.98,Smith Arthur T.,President & CEO,P,8,3.39,10.22,-12.13,1.54
2018-12-13,BRY,Berry Corp (bry),8.98,Grove Gary A,EVP & COO,P,8,22.24,10.33,-13.07,1.54
2018-12-13,RDNT,RadNet Inc,28.3,HAMES NORMAN R,"President, Western Operations",S,28,-0.87,12.68,123.19,0.0
2018-12-13,BAX,Baxter International Inc,79.26,FORSYTH JOHN D,Director,S,79,-4.74,67.02,18.26,1.32
2018-12-13,PHAS,PhaseBio Pharmaceuticals Inc,2.36,Mow Jonathan P,CEO,P,2,1.99,3.69,-36.04,0.0
2018-12-13,LCI,Lannett Co Inc,1.82,PAONESSA ALBERT III,Director,P,1,33.03,5.07,-64.1,0.0
2018-12-13,SAVE,Spirit Airlines Inc,22.36,Bendoraitis John A.,EVP and COO,S,22,-7.84,61.11,-63.41,0.0
2018-12-13,DESTQ,Destination Maternity Corp,0.0001,Ryan Marla A.,CEO,P,0,45.87,2.48,-100.0,0.0
2018-12-13,NCSM,NCS Multistage Holdings Inc,35.07,Hummer Ryan,CFO,P,35,12.79,6.0,484.5,0.0
2018-12-13,FOR,Forestar Group Inc,20.84,BARTOK DANIEL C,CEO,P,20,28.57,13.99,48.96,0.0
2018-12-13,SPNX,Superior Energy Services Inc old,0.1405,Kinnear Peter D.,Director,P,0,36.99,4.01,-96.5,0.0
2018-12-13,UNAM,Unico American Corp,3.3205,Budnitsky Michael,"Treasurer, CFO and Secretary",P,3,48.16,5.97,-44.38,0.0
2018-12-13,CODI,Compass Diversified Holdings,31.07,Faulkingham Ryan J,See Remark (a),P,31,47.31,13.69,126.95,4.62
2018-12-13,MSBF,MSB Financial Corp,10.38,SEIDMAN LAWRENCE B,"Director, 10% Owner",P,10,0.26,17.4,-40.34,0.0
2018-12-13,PETQ,PetIQ Inc,22.43,Santana Will,Executive Vice President,S,22,-28.57,30.28,-25.92,0.0
2018-12-13,PCRX,Pacira BioSciences Inc,55.71,Wicki Andreas,Director,S,55,-1.51,46.84,18.94,0.0
2018-12-13,TPIC,TPI Composites Inc,21.74,Weiss Daniel G,Director,S,21,-2.54,26.21,-17.05,0.0
2018-12-13,NRC,National Research Corp,42.54,K/I/E/Trust Under Agreement 3/,10% Owner,S,42,-0.04,40.0,6.35,0.85
2018-12-13,GRA,W R Grace & Co,69.99,40 NORTH LATITUDE MASTER FUND ,10% Owner,P,69,3.3,61.33,14.12,1.33
2018-12-13,SAFE,Safehold Inc,71.13,ISTAR INC.,10% Owner,P,71,0.21,19.18,270.86,0.94
2018-12-13,LCI,Lannett Co Inc,1.82,LEPORE PATRICK G,Director,P,1,36.82,5.1,-64.31,0.0
2018-12-13,ECOR,electroCore Inc,0.7578,Staats Peter S.,Chief Medical Officer,P,0,2.19,4.83,-84.31,0.0
2018-12-13,TNET,Trinet Group Inc,105.76,Goldfield Burton M.,"PRESIDENT, CEO and DIRECTOR",S,105,-6.03,42.93,146.35,0.0
2018-12-13,PRTK,Paratek Pharmaceuticals Inc,4.83,Haskel William M.,"Sr. VP, Sec. & General Counsel",S,4,-4.02,6.64,-27.26,0.0
2018-12-13,PRTK,Paratek Pharmaceuticals Inc,4.83,Loh Evan,"President, COO and CMO",S,4,-3.98,6.5,-25.69,0.0
2018-12-13,QCRH,QCR Holdings Inc,58.0,Peterson Michael Lawrence,Director,P,58,8.53,33.51,73.08,0.41
