Exchange,Symbol,Company,Currency,Price,Insider Name,Insider Position,Date,Buy/Sell,Insider Trading Shares,Shares Change,Price,Cost(000),Final Share,Price Change Since Insider Trade (%),Dividend Yield %,PE Ratio,Market Cap ($M)
NAS,KLXE,KLX Energy Services Holdings Inc,$,3.97,Roberts Gary J,VP and General Manager,2018-12-24,P,21421,6.43,21.92,469.548,70947.8,-81.89,0,At Loss,35.254
NYSE,CRM,Salesforce.com Inc,$,301.17,Hawkins Mark J,President and CFO,2018-12-24,S,9066,-27.13,121.93,1105.42,24347,147,0,120.95,294845.430
NAS,SSP,The E W Scripps Co,$,20.47,SCRIPPS CHARLES E,10% Owner,2018-12-24,P,5000,0.82,15.24,76.2,617315,34.32,0.24,6.3,1689.270
OTCPK,ENDV,Endonovo Therapeutics Inc,$,0.0172,Mann Michael Scott,President,2018-12-24,P,83199,0.31,0.02,1.66398,26589.097,-14,0,At Loss,1.132
NAS,SYBT,Stock Yards Bancorp Inc,$,64.4,Bickel Paul J III,Director,2018-12-24,P,1602,19.19,31.04,49.7261,9951.522,107.47,1.69,22.9,1712.026
NAS,VLRXQ,Valeritas Holdings Inc,$,0.02,Armistice Capital Master Fund ,10% Owner,2018-12-24,P,50000,0.13,0.33,16.5,1985000,-93.94,0,At Loss,0.170
NAS,MORN,Morningstar Inc,$,323.62,Mansueto Joseph D,"Executive Chairman, 10% Owner",2018-12-24,S,14301,-0.06,107.4,1535.93,22797734,201.32,0.39,66.04,13946.565
NYSE,NS,NuStar Energy LP,$,15.93,Hill Dan J,Director,2018-12-24,P,2000,5.37,20.73,41.46,39231,-23.15,10.03,At Loss,1745.408
NAS,IDRA,Idera Pharmaceuticals Inc,$,0.692,MILANO VINCENT,President & CEO,2018-12-24,P,15000,36.75,2.93,43.95,55816,-76.38,0,At Loss,36.537
NAS,SSP,The E W Scripps Co,$,20.47,Barmonde Charles L.,"Director, 10% Owner",2018-12-24,P,2506,5.17,15.13,37.9158,51000,35.29,0.24,6.3,1689.270
NAS,NGHC,National General Holdings Corp,$,34.18,Karfunkel Robert,President,2018-12-24,P,20000,30.27,23.22,464.4,86071,47.2,0.59,10.27,3878.580
NAS,APOG,Apogee Enterprises Inc,$,46.67,PORTER JAMES S,CFO,2018-12-24,P,2000,1.71,28.1,56.2,118631,66.09,1.73,424.26,1182.368
NAS,APOG,Apogee Enterprises Inc,$,46.67,Puishys Joseph F.,CEO & Pres,2018-12-24,P,-,4.01,26.97,269.7,259441,73.04,1.73,424.26,1182.368
NAS,NFLX,Netflix Inc,$,678.8,HASTINGS REED,CEO,2018-12-24,S,63147,-1.12,241.12,15226,5558947,181.52,0,61.16,300675.950
NAS,PRTS,CarParts.com Inc,$,13.29,Kanen David,10% Owner,2018-12-24,S,42658,-0.79,0.69,29.434,5381624,1826.09,0,At Loss,698.262
NYSE,IFF,International Flavors & Fragrances Inc,$,150.03,Winder Investment Pte Ltd,10% Owner,2018-12-24,P,48000,0.25,125.81,6038.88,19286758,19.25,2.07,121.99,38189.685
AMEX,RVP,Retractable Technologies Inc,$,8.7,SHAW THOMAS J,"President and CEO, 10% Owner",2018-12-24,P,7739,0.04,0.66,5.10774,18079456,1218.18,0,5.76,295.879
NYSE,MYJ,Blackrock Muniyield New Jersey Fund Inc,$,15.83,JAECKEL THEODORE R JR,Portfolio Manager,2018-12-24,P,4836,37.9,12.87,62.2393,17596,23,4.74,12.98,381.890
NYSE,MYD,Blackrock Muniyield Fund Inc,$,14.58,JAECKEL THEODORE R JR,Portfolio Manager,2018-12-24,S,3000,-49.96,12.66,37.98,3005.272,15.17,4.58,5.72,684.090
NAS,ESPR,Esperion Therapeutics Inc,$,7.41,BIOTECH TARGET N V,10% Owner,2018-12-24,P,50000,1.5,39.91,1995.5,3392964,-81.43,0,At Loss,215.461
NYSE,MUJ,BlackRock MuniHoldings New Jersey Quality Fund Inc,$,15.53,JAECKEL THEODORE R JR,Portfolio Manager,2018-12-24,S,5000,-34.37,12.39,61.95,9549,25.34,4.87,12.88,467.253
NYSE,CHKAQ,Chesapeake Energy Corp,$,3.05,RYAN THOMAS L,Director,2018-12-24,P,200000,36.8,1.81,362,3717.595,68.51,0,At Loss,32.031
NYSE,ARDC,Ares Dynamic Credit Allocation Fund Inc,$,15.96,SPECTOR BRUCE H,Director,2018-12-24,P,-,66.67,13.3,133,25000,20,7.33,4.47,365.722
NAS,FPAY,FlexShopper Inc,$,2.39,Dvorkin Howard,10% Owner,2018-12-24,P,42538,1.56,0.69,29.3512,2768650,246.38,0,At Loss,51.100
NAS,VUZI,Vuzix Corp,$,13.04,Harned Timothy Heydenreich,Director,2018-12-24,P,1000,2.22,4.53,4.53,46000,187.86,0,At Loss,829.758
OTCPK,BCDA,BioCardia Inc,$,2.22,STERTZER SIMON H,"Director, 10% Owner",2018-12-24,P,3333332,92.93,0.75,2500,768935.3422,196,0,At Loss,37.454
NYSE,BBDC,Barings BDC Inc,$,11.22,BARINGS LLC,Investment Adviser,2018-12-24,P,48600,0.4,8.85,430.11,12307327.19,26.78,6.86,7.63,732.845
AMEX,MCF,Contango Oil & Gas Co,$,3.39,GOFF JOHN C,"Director, 10% Owner",2018-12-24,P,99310,15.25,2.88,286.013,750536,17.71,0,At Loss,682.539
NYSE,AWF,Alliancebernstein Glb High Inc Fund Inc,$,12.42,BERNSTEIN SETH P,"Pres, CEO & Dir, Fund's Advsr",2018-12-24,P,-,100,10.19,101.9,-,21.88,6.35,4.41,1070.975
NAS,LION,Fidelity Southern Corp,$,30.97,SMITH RANKIN M JR,Director,2018-12-24,P,15000,5.98,25.25,378.75,265648.0576,22.65,1.55,At Loss,856.550
NYSE,ORCL,Oracle Corp,$,93.97,Daley Dorian,"EVP, Gen'l Counsel, Secretary",2018-12-24,S,6302,-7.48,43.24,272.498,77919,117.32,1.27,19.95,256911.813
OTCPK,IMTL,Image Protect Inc,$,0.000995,Lawrence Adams,CEO,2018-12-24,P,271049,3.17,0.01,2.71049,8818112,-90.05,0,At Loss,0.071
OTCPK,NANX,Nanophase Technologies Corp,$,4.1,JANKOWSKI JESS,"President, CEO",2018-12-24,P,20199,103.05,0.81,16.3612,39801,406.17,0,57.75,199.775
NYSE,VLT,Invesco High Income Trust II,$,14.63,"Saba Capital Management, L.P.",10% Owner,2018-12-24,P,9151,0.86,12.24,112.008,1069437,19.53,7.91,8.76,95.042
OTCPK,BCDA,BioCardia Inc,$,2.22,STERTZER SIMON H,Director,2018-12-24,P,3333332,92.95,0.75,2500,768824.3423,196,0,At Loss,37.454
NYSE,PB,Prosperity Bancshares Inc,$,74.61,TIMANUS H E JR,Vice Chairman,2018-12-24,P,5000,1.25,57.65,288.25,403707,29.42,2.64,13.06,6876.428
NAS,RCII,Rent-A-Center Inc,$,45.47,Skula Catherine M,EVP - Franchising,2018-12-24,S,21381,-55.46,15.08,322.425,17173,201.53,2.74,15.94,3007.396
NYSE,OFC,Corporate Office Properties Trust,$,27.12,BUDORICK STEPHEN E,President & CEO,2018-12-24,P,1213,1.04,20.57,24.9514,118078,31.84,4.07,21,3046.249
OTCPK,BCDA,BioCardia Inc,$,2.22,STERTZER SIMON H,"Director, 10% Owner",2018-12-24,P,3333332,92.95,0.75,2500,768824.3423,196,0,At Loss,37.454
NAS,CUE,Cue Biopharma Inc,$,14.83,DIGIANDOMENICO ANTHONY,Director,2018-12-24,P,-,50,4.81,48.1,30000,208.32,0,At Loss,471.014
NAS,APOG,Apogee Enterprises Inc,$,46.67,PORTER JAMES S,CFO,2018-12-24,P,2000,1.74,28.1,56.2,117206,66.09,1.73,424.26,1182.368
NYSE,CSR,Centerspace,$,101.38,Schissel John A,Director,2018-12-24,P,2500,9,4.91,12.275,3028.3,1964.77,2.76,At Loss,1447.760
OTCPK,BCDA,BioCardia Inc,$,2.22,FROST PHILLIP MD ET AL,10% Owner,2018-12-24,P,2000000,18.39,0.75,1500,1430589.458,196,0,At Loss,37.454
NYSE,ARDC,Ares Dynamic Credit Allocation Fund Inc,$,15.96,Brufsky Seth J,President and CEO,2018-12-24,P,-,25.55,13.39,133.9,49136.6401,19.19,7.33,4.47,365.722
NYSE,ET,Energy Transfer LP,$,8.7,Long Thomas E,CFO,2018-12-24,P,24500,5.16,12.05,295.225,499698,-27.8,7.02,4.83,23540.941
NAS,SEAC,SeaChange International Inc,$,0.7825,SINGER KAREN,10% Owner,2018-12-24,P,2596,0.06,1.18,3.06328,4315327,-33.69,0,At Loss,38.376
NYSE,HY,Hyster-Yale Materials Handling Inc,$,41.2,RANKIN VICTOIRE G,Member of a Group,2018-12-24,P,4765,0.71,58.17,277.18,673393,-29.17,3.1,At Loss,693.266
NAS,MIME,Mimecast Ltd,$,83.2,Jennings Edward Vincent,COO,2018-12-24,S,7500,-45.45,29.98,224.85,9000,177.52,0,126.06,5524.043
NAS,PSEC,Prospect Capital Corp,$,8.97,Barry John F,"CHIEF EXECUTIVE OFFICER, 10% Owner",2018-12-24,P,304792,0.81,5.82,1773.89,37762497.23,54.12,8.02,3.49,3497.101
NAS,MIME,Mimecast Ltd,$,83.2,Murray Neil,Chief Technology Officer,2018-12-24,S,25000,-89.29,30.06,751.5,3000,176.78,0,126.06,5524.043
NYSE,HY,Hyster-Yale Materials Handling Inc,$,41.2,RANKIN THOMAS T,Member of a Group,2018-12-24,P,1068,0.28,58.14,62.0935,377388,-29.14,3.1,At Loss,693.266
OTCPK,PBIO,Pressure BioSciences Inc,$,2.42,SCHUMACHER RICHARD T,"President, CEO",2018-12-24,P,1500,4.04,2.01,3.015,38583,20.4,0,At Loss,15.419
NYSE,ACN,Accenture PLC,$,369.79,Ollagnier Jean-Marc,Group Chief Exec-Resources,2018-12-24,S,6165,-2.76,135.16,833.261,217487,173.59,0.97,40.41,233574.416
NAS,PSEC,Prospect Capital Corp,$,8.97,Stark Eugene S,Director,2018-12-24,P,2500,6.25,5.75,14.375,42500.345,56,8.02,3.49,3497.101
NYSE,ACN,Accenture PLC,$,369.79,Nanterme Pierre,Chairman & CEO,2018-12-24,S,37846,-9.81,135.16,5115.27,347801,173.59,0.97,40.41,233574.416
OTCPK,CBKM,Consumers Bancorp Inc,$,22.5,MCCLELLAN LAURIE L,"Director, 10% Owner",2018-12-24,P,1000,0.24,17.47,17.47,411956.973,28.79,2.69,7.35,68.595
NAS,CRSP,CRISPR Therapeutics AG,$,82.44,Vertex Pharmaceuticals (Europe,10% Owner,2018-12-24,P,90742,1.73,24.08,2185.07,5340742,242.36,0,17.39,6308.884
NAS,OMED,OncoMed Pharmaceuticals Inc,$,0.89,Gurney Austin,See Remarks,2018-12-24,S,11117,-14.27,0.6,6.6702,66807,48.33,0,At Loss,34.430
NAS,MB,MINDBODY Inc,$,36.46,WHITE BRETT T,CFO & COO,2018-12-24,S,-,-8.03,36.32,363.2,114498,0.39,0,At Loss,1752.870
NYSE,HY,Hyster-Yale Materials Handling Inc,$,41.2,RANKIN CORBIN,Member of a Group,2018-12-24,P,1124,0.3,58.17,65.3831,377444,-29.17,3.1,At Loss,693.266
NYSE,HY,Hyster-Yale Materials Handling Inc,$,41.2,RANKIN ALFRED M ET AL,Chairman,2018-12-24,P,5176,0.77,58.15,300.984,673257,-29.15,3.1,At Loss,693.266
NAS,FIVN,Five9 Inc,$,150,WELCH SCOTT,"EVP, Cloud Operations",2018-12-24,S,1031,-1.37,39.57,40.7967,74124,279.08,0,At Loss,10207.342
NYSE,TRTX,TPG RE Finance Trust Inc,$,12.98,Smith Peter A.,Vice President,2018-12-24,P,2000,3.04,18,36,67734,-27.89,6.46,29.06,1000.082
NAS,KFRC,Kforce Inc,$,79,STRUZZIERO RALPH,Director,2018-12-24,S,5500,-15.92,28.22,155.21,29058,179.94,1.17,23.19,1692.508
NAS,MOTS,Motus GI Holdings Inc,$,0.5133,PERCEPTIVE LIFE SCIENCES MASTE,10% Owner,2018-12-24,P,410000,14.64,2.76,1131.6,3210541,-81.4,0,At Loss,24.781
NYSE,BXC,BlueLinx Holdings Inc,$,73.68,"Nokomis Capital, L.L.C.",10% Owner,2018-12-24,P,49117,4.67,20.48,1005.92,1100004,259.77,0,2.98,715.187
NYSE,ELF,e.l.f. Beauty Inc,$,32.44,Bailey John P.,President and CFO,2018-12-24,S,86600,-13.93,7.9,684.14,534888,310.63,0,95.43,1687.902
NYSE,SCM,Stellus Capital Investment Corp,$,13.94,Ladd Robert T.,President and CEO,2018-12-24,P,8000,1.7,11.85,94.8,478776,17.64,7.99,6.74,271.635
NAS,NNBR,NN Inc,$,5.35,Smith Carey A.,Director,2018-12-24,P,5000,78.98,5.8,29,11331,-7.76,0,2.03,230.230
NAS,NBRV,Nabriva Therapeutics PLC,$,0.91,Rowland Charles A Jr,Director,2018-12-24,P,53000,100,1.31,69.43,5300,-30.53,0,At Loss,49.428
NYSE,CNR,Cornerstone Building Brands Inc,$,16.77,METCALF JAMES S,Chairman and CEO,2018-12-24,P,100000,52.22,7.09,709,291512,136.53,0,3.44,2116.692
NAS,DISH,DISH Network Corp,$,33.58,DEFRANCO JAMES,Executive Vice President,2018-12-24,P,25000,1.82,25,625,1398356,34.32,0,8.03,17756.846
NAS,MRCC,Monroe Capital Corp,$,11.67,Peck Aaron Daniel,CFO and CIO,2018-12-24,P,4500,75.81,9.2,41.4,10435.832,26.85,8.55,7.22,251.412
NYSE,LGF.A,Lions Gate Entertainment Corp,$,16.35,RACHESKY MARK H MD,"Director, 10% Owner",2018-12-21,P,779900,6.97,14.23,11098,11968955,14.9,0,At Loss,3518.487
NAS,COUP,Coupa Software Inc,$,212.88,Ford Todd R,CFO,2018-12-21,S,2614,-14.26,56.09,146.619,15715,279.53,0,At Loss,15765.770
NYSE,MEI,Methode Electronics Inc,$,47.39,HORNUNG CHRISTOPHER J,Director,2018-12-21,P,8200,20.07,22.16,181.712,49050,113.85,1.05,13.9,1808.921
NAS,DSPG,DSP Group Inc,$,21.95,Paul Cynthia,Director,2018-12-21,P,34386,14.23,10.7,367.93,276039,105.14,0,At Loss,532.338
NAS,COUP,Coupa Software Inc,$,212.88,BERNSHTEYN ROBERT,CEO,2018-12-21,S,5865,-3.77,56.08,328.909,149825,279.6,0,At Loss,15765.770
NAS,AMSWA,American Software Inc,$,25.05,HOGUE DENNIS,Director,2018-12-21,S,3000,-10.67,9.23,27.69,25124,171.4,1.76,92.77,833.873
NAS,COUP,Coupa Software Inc,$,212.88,Riggs Mark,Chief Customer Officer,2018-12-21,S,1476,-32.9,56.09,82.7888,3011,279.53,0,At Loss,15765.770
NAS,TTD,The Trade Desk Inc,$,107.79,Ross Paul,CFO,2018-12-21,S,16143,-29.84,110.18,1778.64,379590,-2.17,0,189.1,51807.470
NYSE,SCM,Stellus Capital Investment Corp,$,13.94,Bilger Bruce R,Director,2018-12-21,P,8000,9.49,11.94,95.52,92327,16.75,7.99,6.74,271.635
NAS,CDXS,Codexis Inc,$,37.22,KELLEY BERNARD J,Director,2018-12-21,S,10206,-4.74,16.98,173.298,205255,119.2,0,At Loss,2414.657
AMEX,GSAT,Globalstar Inc,$,1.55,Monroe James III,"CEO, 10% Owner",2018-12-21,P,155806044,23.27,0.36,56090.2,825358935,330.56,0,At Loss,2779.150
NAS,DOCU,DocuSign Inc,$,263.34,Krach Keith J.,Director,2018-12-21,S,51982,-0.64,40.34,2096.95,8093505,552.8,0,At Loss,51803.801
NYSE,EW,Edwards Lifesciences Corp,$,117.03,MUSSALLEM MICHAEL A,Chairman & CEO,2018-12-21,S,32800,-3.47,146.03,4789.78,2737365.277,-19.86,0,49.8,73065.866
NAS,ASPU,Aspen Group Inc,$,4.13,MacLean Malcolm F IV,Director,2018-12-21,P,4091,0.63,4.99,20.4141,651530,-17.23,0,At Loss,103.218
NYSE,CRM,Salesforce.com Inc,$,301.17,Benioff Marc,Chairman of the Board & co-CEO,2018-12-21,S,5000,-0.02,125.23,626.15,31805800,140.49,0,120.95,294845.430
NYSE,SLG,SL Green Realty Corp,$,73.2,HOLLIDAY MARC,CEO,2018-12-21,S,110000,-91.9,83.23,9155.3,9420.273129,-12.05,4.99,7.66,4884.394
NAS,AMWD,American Woodmark Corp,$,71.39,Dunston Steven Cary,President & C.E.O.,2018-12-21,P,1500,3.03,55.23,82.845,51082,29.26,0,26.75,1182.808
NAS,TVTX,Travere Therapeutics Inc,$,29.27,ASELAGE STEVE,CEO,2018-12-21,S,12376,-4.55,21.88,270.787,259772,33.78,0,At Loss,1792.096
NAS,TVTX,Travere Therapeutics Inc,$,29.27,Clague Laura,CFO,2018-12-21,S,7500,-38.4,21.96,164.7,12033,33.29,0,At Loss,1792.096
OTCPK,LIVC,Live Current Media Inc,$,0.34975,Vahabzadeh Amir,Director,2018-12-21,P,1000,0.03,0.06,0.06,3807818,482.92,0,58.29,12.184
NAS,AMTB,Amerant Bancorp Inc,$,31.33,Figueredo Alfonso,See Remarks,2018-12-21,P,4615,6.03,13,59.995,81098,141,0,21.81,1151.220
NAS,AVEO,AVEO Pharmaceuticals Inc,$,6.78,Sonsini Peter W.,10% Owner,2018-12-21,P,500000,2.45,1.55,775,2089603.8,337.42,0,At Loss,233.055
NAS,AVEO,AVEO Pharmaceuticals Inc,$,6.78,SANDELL SCOTT D,10% Owner,2018-12-21,P,500000,2.45,1.55,775,2089603.8,337.42,0,At Loss,233.055
NYSE,VEEV,Veeva Systems Inc,$,305.14,Wallach Matthew J,President,2018-12-21,S,12000,-100,83.7,1004.4,0,264.56,0,116.48,46813.875
NAS,AVEO,AVEO Pharmaceuticals Inc,$,6.78,MOTT DAVID M,10% Owner,2018-12-21,P,500000,2.45,1.55,775,2089603.8,337.42,0,At Loss,233.055
NAS,CUE,Cue Biopharma Inc,$,14.83,Suri Anish,Chief Scientific Officer,2018-12-21,P,2000,100,4.37,8.74,2000,239.36,0,At Loss,471.014
NAS,AMTB,Amerant Bancorp Inc,$,31.33,Peraza Alberto,See Remarks,2018-12-21,P,-,12.24,13,130,91692,141,0,21.81,1151.220
NAS,AVEO,AVEO Pharmaceuticals Inc,$,6.78,MAKOWER JOSHUA,10% Owner,2018-12-21,P,500000,2.45,1.55,775,2089603.8,337.42,0,At Loss,233.055
NYSE,ICD,Independence Contract Drilling Inc,$,3.02,BATES THOMAS R JR,Director,2018-12-21,P,20000,18.85,2.88,57.6,6305.5,4.86,0,At Loss,28.881
NAS,AVEO,AVEO Pharmaceuticals Inc,$,6.78,Makhzoumi Mohamad,10% Owner,2018-12-21,P,500000,2.45,1.55,775,2089603.8,337.42,0,At Loss,233.055
NAS,AVEO,AVEO Pharmaceuticals Inc,$,6.78,Florence Anthony A. Jr.,10% Owner,2018-12-21,P,500000,2.45,1.55,775,2089603.8,337.42,0,At Loss,233.055
NAS,AMTB,Amerant Bancorp Inc,$,31.33,Mercantil Servicios Financiero,10% Owner,2018-12-21,S,4922477,-100,13,63992.2,0,141,0,21.81,1151.220
NAS,AVEO,AVEO Pharmaceuticals Inc,$,6.78,BASKETT FOREST,10% Owner,2018-12-21,P,500000,2.45,1.55,775,2089603.8,337.42,0,At Loss,233.055
NYSE,CIEN,Ciena Corp,$,60.77,HAMILTON RICK,"SVP, Software and Services",2018-12-21,S,4602,-5.35,32.48,149.473,81438,87.1,0,20.58,9415.047
NAS,AVEO,AVEO Pharmaceuticals Inc,$,6.78,BARRIS PETER J,10% Owner,2018-12-21,P,500000,2.45,1.55,775,2089603.8,337.42,0,At Loss,233.055
NAS,AMTB,Amerant Bancorp Inc,$,31.33,COPELAND FREDERICK C JR,Director,2018-12-21,P,6000,62.4,13,78,15615,141,0,21.81,1151.220
NAS,AVEO,AVEO Pharmaceuticals Inc,$,6.78,Growth Equity Opportunities IV,10% Owner,2018-12-21,P,500000,2.45,1.55,775,2089603.8,337.42,0,At Loss,233.055
NAS,ARAV,Aravive Inc,$,3.63,Shepard Jay,President and CEO,2018-12-21,S,3484,-3.98,3.22,11.2185,84113,12.73,0,At Loss,76.134
NAS,AMTB,Amerant Bancorp Inc,$,31.33,Capriles Alberto,See Remarks,2018-12-21,P,2500,12.55,13,32.5,22423,141,0,21.81,1151.220
NYSE,LYV,Live Nation Entertainment Inc,$,112.54,Rapino Michael,President & CEO,2018-12-21,S,255000,-22.43,50.57,12895.4,882030,122.54,0,At Loss,25283.236
NAS,AMTB,Amerant Bancorp Inc,$,31.33,Palacios Miguel,See Remarks,2018-12-21,P,5769,14.99,13,74.997,44243.66,141,0,21.81,1151.220
NAS,SIC,Select Interior Concepts Inc,$,14.49,"BRC Partners Opportunity Fund,",10% Owner,2018-12-21,P,211241,9.13,6.17,1303.36,2523833,134.85,0,7.39,375.960
NAS,AMTB,Amerant Bancorp Inc,$,31.33,Wilson Millar,Vice-Chairman & CEO,2018-12-21,P,30769,16.67,13,399.997,215384,141,0,21.81,1151.220
NYSE,ECC,Eagle Point Credit Co Inc,$,15.12,Onorio Kenneth P.,CFO/COO,2018-12-21,P,1000,6.17,13.46,13.46,17210,12.33,7.26,2.28,521.482
OTCPK,ENDV,Endonovo Therapeutics Inc,$,0.0172,Mann Michael Scott,President,2018-12-21,P,138000,0.52,0.02,2.76,26505.898,-14,0,At Loss,1.132
NYSE,ECC,Eagle Point Credit Co Inc,$,15.12,Majewski Thomas P.,Portfolio Manager,2018-12-21,P,1000,1.89,13.46,13.46,54000,12.33,7.26,2.28,521.482
NAS,RFIL,RF Industries Ltd,$,7.66,FINK MARVIN,Director,2018-12-21,S,2000,-2.52,6.35,12.7,77339,20.63,0,13.94,76.911
NAS,GIGM,GigaMedia Ltd,$,2.54,Huang Cheng-Ming,CEO,2018-12-21,P,150000,27.27,2.8,420,700066,-9.29,0,At Loss,28.072
AMEX,PED,PEDEVCO Corp,$,1.15,KUKES SIMON G,"CEO, 10% Owner",2018-12-21,P,225000,2.94,0.74,166.5,7865618,55.41,0,At Loss,96.842
OTCPK,NIMU,Non-Invasive Monitoring Systems Inc,$,0.0275,HSIAO JANE PH D,"Interim CEO, 10% Owner",2018-12-21,P,27235734,261.88,0.07,1906.5,37635734,-60.71,0,N/A,4.258
OTCPK,NIMU,Non-Invasive Monitoring Systems Inc,$,0.0275,FROST PHILLIP MD ET AL,10% Owner,2018-12-21,P,33355325,222.37,0.07,2334.87,48355325,-60.71,0,N/A,4.258
OTCPK,JONEQ,Jones Energy Inc,$,0.071,"JVL Advisors, L.L.C.",10% Owner,2018-12-21,S,81000,-25.76,0.63,51.03,233399,-88.73,0,At Loss,0.530
NAS,TSLA,Tesla Inc,$,1137.06,Gracias Antonio J.,Director,2018-12-21,S,16780,-5.46,318.62,5346.44,1453915,256.87,0,367.97,1141909.393
NAS,NEO,NeoGenomics Inc,$,40.03,Johnson Kevin C,Director,2018-12-21,P,26000,33.39,11.6,301.6,103866,245.09,0,111.2,4928.590
NYSE,EXPR,"Express, Inc.",$,4.27,Contrarius Investment Manageme,10% Owner,2018-12-21,S,431914,-6.27,5.09,2198.44,6452902,-16.11,0,At Loss,285.994
AMEX,EVBN,Evans Bancorp Inc,$,39.32,MILLER ROBERT G JR,Secretary,2018-12-21,S,2096,-2.95,33.5,70.216,68960.47,17.37,3.04,8.9,214.955
NYSE,CHKAQ,Chesapeake Energy Corp,$,3.05,DUNHAM ARCHIE W,Director,2018-12-21,P,2100000,28.98,1.97,4137,46736.875,54.82,0,At Loss,32.031
NYSE,HR,Healthcare Realty Trust Inc,$,32.61,Hull Robert E,EVP - Investments,2018-12-21,S,4600,-4.29,29.67,136.482,102631,9.91,3.71,181.17,4811.338
NYSE,CHKAQ,Chesapeake Energy Corp,$,3.05,PIGOTT M. JASON,EVP - Operations,2018-12-21,P,11000,1.12,1.93,21.23,4979.45,58.03,0,At Loss,32.031
NAS,FMNB,Farmers National Banc Corp,$,18.37,BESTIC GREGORY C,Director,2018-12-21,P,8100,23.83,12.12,98.172,42097,51.57,2.4,9.09,622.893
NYSE,FSK,FS KKR Capital Corp,$,21.11,Forman Michael C.,CEO,2018-12-21,S,1122607,-32.96,5.15,5781.43,570896.5145,309.9,11.61,2.23,6015.625
NYSE,DHF,BNY Mellon High Yield Strategies Fund,$,3.29,DIMARTINO JOSEPH S,Director,2018-12-21,P,15000,6,2.56,38.4,265000,28.52,7.84,3.42,239.209
NYSE,FSK,FS KKR Capital Corp,$,21.11,Forman Michael C.,CEO,2018-12-21,P,1122607,96.69,5.15,5781.43,570896.5145,309.9,11.61,2.23,6015.625
NAS,ROAD,Construction Partners Inc,$,39.23,Matteson Mark R,"Director, 10% Owner",2018-12-21,P,1000,100,8.42,8.42,1000,365.91,0,70.31,2051.435
NAS,DXCM,DexCom Inc,$,641.18,DOUBLEDAY RICHARD,"EVP, Chief Commercial Officer",2018-12-21,S,1510,-1.83,109.34,165.103,80916,486.41,0,119.18,62144.470
NAS,DXCM,DexCom Inc,$,641.18,Pacelli Steven Robert,"EVP, Strategy & Corp. Dev.",2018-12-21,S,3114,-2.89,109.41,340.703,104518,486.03,0,119.18,62144.470
NAS,IDRA,Idera Pharmaceuticals Inc,$,0.692,Lim Bryant David,SVP and General Counsel,2018-12-21,P,4000,538.36,3.05,12.2,4743,-77.31,0,At Loss,36.537
NAS,SLNO,Soleno Therapeutics Inc,$,0.731,SCHULER JACK W,10% Owner,2018-12-21,P,3031002,199.45,1.61,4879.91,4550678,-54.6,0,At Loss,58.339
NYSE,KYN,"Kayne Anderson Energy Infrastructure Fund, Inc",$,7.99,Baker James C,President,2018-12-21,P,-,4.83,13.67,136.7,217039,-41.55,8.15,3,1010.315
OTCPK,UNRV,Unrivaled Brands Inc,$,0.3398,Nahass Michael,"Pres., COO, Sec. and Treas.",2018-12-21,P,50000,2.33,0.6,30,2198386,-43.37,0,At Loss,151.310
OTCPK,UNRV,Unrivaled Brands Inc,$,0.3398,Peterson Derek,CEO,2018-12-21,P,50000,6.95,0.66,33,769782,-48.52,0,At Loss,151.310
NYSE,DIS,The Walt Disney Co,$,154,WOODFORD BRENT,"EVP, Control, Fin Plan & Tax",2018-12-21,S,1341,-4.45,107.71,144.439,28823.1731,42.98,0,141.29,279837.496
NAS,SAEXQ,SAExploration Holdings Inc,$,0.145,Beatty Brian A,COO,2018-12-21,S,3050,-7.27,2.08,6.344,38911,-93.03,0,At Loss,0.960
NYSE,KR,The Kroger Co,$,40.89,HJELM CHRISTOPHER T,Executive Vice President,2018-12-21,S,18564,-6.6,28.25,524.433,262727,44.74,1.91,27.45,30407.380
NYSE,YEXT,Yext Inc,$,10.84,Walrath Michael,Director,2018-12-21,P,100000,4.99,13.35,1335,2104864,-18.8,0,At Loss,1385.842
OTCPK,LTRE,Learning Tree International Inc,$,1.25,SUBIN NEIL S,10% Owner,2018-12-21,S,89500,-5.67,1.1,98.45,1488850,13.64,0,At Loss,16.407
OTCPK,LTRE,Learning Tree International Inc,$,1.25,SUBIN NEIL S,10% Owner,2018-12-21,P,44750,3.1,1.1,49.225,1488850,13.64,0,At Loss,16.407
OTCPK,LFMD,LifeMD Inc,$,4.54,Schreiber Justin,"CEO, 10% Owner",2018-12-21,P,51701,1.67,0.18,9.30618,629000,2422.22,0,At Loss,138.893
NYSE,MX,MagnaChip Semiconductor Corp,$,18.85,"BRIGADE CAPITAL MANAGEMENT, LP",10% Owner,2018-12-21,P,16000,0.44,6.15,98.4,3627935,206.5,0,12.68,875.862
OTCPK,CAPS,Capstone Therapeutics Corp,$,17.25,SUBIN NEIL S,10% Owner,2018-12-21,S,206000,-2.65,0.05,10.3,7554.422,34400,0,0.16,1.368
OTCPK,CAPS,Capstone Therapeutics Corp,$,17.25,SUBIN NEIL S,10% Owner,2018-12-21,P,103000,1.38,0.05,5.15,7554.422,34400,0,0.16,1.368
NAS,ROAD,Construction Partners Inc,$,39.23,Fleming Ned N III,"Director, 10% Owner",2018-12-21,P,4000,100,8.47,33.88,4000,363.16,0,70.31,2051.435
