dialogue,ground_truth,zero_shot_summaries,one_shot_summaries
Keith: The lecture room has changed from 102 to 210 today.(☞ﾟヮﾟ)☞   Jesse: Where did you hear that? I couldn’t get messages from the school office?エェェ(´д｀)ェェエ   Keith: I don’t know. Suji sent me text.    Jesse: Then where did Suji get this news from? エェェ(´д｀)ェェエ   Keith: I don’t know. The office always works like that.(ﾟдﾟ),Keith learnt from Suji that the lecture room was switched from 102 to 210.,"   Jesse is asking Keith where he heard that the lecture room has changed from 102 to 210, as Jesse did not receive any messages from the school office",ｳﾏｰ     Keith and Jesse are discussing the change in lecture room from 102 to 210. Keith heard the news from
"Carla: Hi, do I teach today?   Mona: Yes.    Carla: OK, cool.   Mona: You'll have 7 people.   Carla: Wow, it's getting better. Good to hear that :)    Mona: Yes :)   Carla: Ah, almost forgot. I'm leaving town 6-12 December. Do you want me to find someone to teach the class on the 8th?    Mona: I don't know. I'll ask Mary.    Carla: OK. Let me know.   Mona: A propos, do you want to teach 22nd and 29th?   Carla: 22nd - yes. 29th - no.    Mona: Noted.    Carla: And what about the 2nd January?   Mona: I'll ask the girls wheather they want to come. Becasue the studio is open.    Carla: Ok, great. In touch. ",Carla is teaching a class of 7 today. She will be absent 6-12 December. She can teach on the 22nd but not 29th. Mona has to confirm January 2nd classes.,   Carla and Mona discussed Carla's teaching schedule. Carla will teach on the 22nd of December and Mona will ask Mary if Car,"   In this conversation, Carla and Mona discuss Carla's teaching schedule. Carla is leaving town from 6-12 December and needs to find"
Eva: Meeting today with clients at 11 am sharp..    Jim: Yes sir   Eva: Have you prepared the presentation   Jim: Yes sir I have   Jim: :thumbs,There's a meeting with clients today at 11 AM. Jim has prepared the presentation.,"up:   Eva asked Jim if he had prepared the presentation for their meeting with clients at 11 am, and Jim confirmed that he had and gave a thumbs",up:   Eva and Jim are preparing for a meeting with clients at 11 am. Jim has prepared the presentation and is ready for the meeting.
"Fanny: where are you?!!! why are you not here at the office??!?!   Jay: i overslept -- i'm really sorry!!!   Fanny: WHAT?!?!? ARE YOU BEING SERIOUS?!?!?   Jay: yeah i'm sorry   Fanny: UNBELIEVABLE   Fanny: the meeting can't start without you!!!!!!!!!!!!!!   Fanny: we've been preparing this for months!!!!!!!!!!!   Fanny: HOW CAN YOU NOT BE HERE?!?!?!   Jay: i'm getting ready, trust me, I'll be there soon   Fanny: HURRY UP!!!   Jay: i'll be there in no time   Fanny: GET - HERE - FAST!!!!   Fanny: everyone is starting to get antsy   Fanny: and i've run out of things to say   Jay: if you stop texting me i'll get there faster   Jay: just let me get ready, i'll hop in the car and go   Fanny: ok i'm gonna stop texting   Fanny: just get here FAST!!!",Fanny is very upset with Jay oversleeping on the day of the big meeting. Everybody is waiting and Jay is rushing over. ,   Fanny is extremely frustrated with Jay for oversleeping and not being at the office for a meeting they have been preparing for months. She demands that,   Jay overslept and is running late for a meeting that Fanny has been preparing for months. Fanny is frustrated and urges Jay to hurry up
"Isabelle: So, what time will you be there?   Ryan: I won’t   Isabelle: What??   Ryan: Me and Irma, we’re going to the cinema together   Isabelle: Loool, not cool, both of you promised to come!   Ryan: I know, but… we just want to spend some time together before I go to London   Isabelle: Ooooookay, I can see sth’s going on o.O   Ryan: Yea, kind of ;p   Isabelle: Meaning…? ;d   Ryan: Were going out a bit, that’s it   Isabelle: Hmmm right, so what am I supposed to tell the others?   Ryan: The truth :P",Ryan and Irma are going to the movies tonight instead of meeting Isabelle as promised. Ryan will be leaving for London soon and wants to spend time with Irma.,   Ryan and Irma are going to the cinema together instead of going to the event Isabelle had invited them to. They want to spend some time together before,"   Ryan and Irma are going to the cinema together instead of going to the party, and they are going out together. Isabelle is supposed to tell the"
"Nate: Where are you?   Julien: I'm here, where r YOU?   Nate: Here as well.   Julien: Lol, great. :D   Nate: Wait, I see you. Don't move.",Nate and Julien have both arrived in the agreed meeting place and they are trying to find each other. ,   Nate and Julien are both in the same place and Nate has spotted Julien. Julien is amused by the situation and Nate tells him not,     Nate and Julien are both at the same location and Nate has spotted Julien.
"Helen: How are you, love? Enjoying work?   Ralph: Don't rub it in! Just cos you've got this week off!   Helen: I was in the mood for something a bit exotic for dinner. How do you fancy a Tagine?   Ralph: I've no idea, what is it?   Helen: You are so unsophisticated! It's a Moroccan casserole, cooked in a special pot with a pointy lid.   Ralph: Oh, you mean you're actually going to use your brothers present after all these years?   Helen: Yes, it's been cluttering up the kitchen, it's time it saw some action! Anyway, I need ras- el-hanout, at least I think that's how it's spelled, it's a special spice mix. The corner shop won't have it and I don't feel like trekking 10 miles to Sainsbury's. Thought you could pick it up later.   Ralph: I will, but won't it be a bit late to add it at 7 when I get home?   Helen: Shit! Yes, didn't think of that! Oh, also, I don't have any lamb neck fillets either!    Ralph: I suppose we'd better have beans on toast instead, then!   Helen: Seems so! I'll cook it another time. See you later!","Helen has this week off work. She plans to cook Tagine, but she doesn't have ingredients. Ralph's coming back at 7 pm.","   Helen and Ralph are discussing dinner plans. Helen wants to make a Moroccan casserole, but needs a special spice mix and lamb neck fillets","     Ralph and Helen are discussing dinner plans. Helen wants to make a Moroccan casserole, but they don't have the necessary ingredients. Ralph"
"Matt: Have you heard about that? A slice of bread simulator game!!   Liam: Omg, that just can’t be true. Is it real?    Matt: Haha, yeah.    Liam: Oh no, I just spit my hamburger on the screen. Thank you, bro.   Matt: I’m just looking at the gameplay. It’s so unreal. HAHA!   Liam: So basically you do play a game, in which you DO LIVE the life of a slice of bread? I don’t think I want to live on this planet anymore.   Matt: Come on, it's funny!",There is a new computer game in which you live the life of a slice of bread. Liam and Matt can't believe it's true.,"   Matt and Liam are discussing a game simulator in which the player lives the life of a slice of bread. Liam is shocked and expresses disbelief, while Matt",   Liam and Matt are discussing a game in which the player lives the life of a slice of bread. Liam is shocked by the concept and Matt finds
"Terry: I have a question. Does anybody know what's the youngest country in the world   Jenny: East Timor I think, why?   Terry: a quiz here   Mia: no! East Timor is old   Mia: either Serbia or Montenegro, they split 2006   Kate: nope, i've just googled it   Kate: South Sudan   Kate: 2011   Mia: right, I completely forgot!   Terry: guys! so what is the answer   Mia: South Sudan   Mia: Kate is right   Kate: google is right   Terry: right! haha",South Sudan is the youngest country in the world. ,"   Mia and Kate both suggested South Sudan as the youngest country in the world, and Kate confirmed it with a Google search. Terry then confirmed that South","     Terry asked what the youngest country in the world is and Mia and Kate suggested South Sudan, which was confirmed by a Google search."
"Lola: Are you coming to the June Ball?   Laura: sure, everybody will be there   Peter: don't forget to buy the tickets   Laura: I have 2 already",Laura is coming to the June Ball. She already has 2 tickets.,"   Lola asked if Laura was coming to the June Ball, to which Laura replied yes, noting that everyone would be there. Peter reminded Laura to buy",", do you need one?   Lola asked Laura if she was coming to the June Ball, and Laura said yes, as everyone will be there."
"Jackie: Hi, have you heard about Jason?   Milly: Hi! No, what happened?   Jackie: It's pretty stupid, you know :D It has to do with his leg   Milly: Keep talking   Jackie: Writing!   Milly: What?   Jackie: I'm writing, not talking ;)   Milly: Ok, ok, just get to the point!   Jackie: You've heard about this punk band he's just joined, right?   Milly: Yeah, but what happened?   Jackie: Last night he was trying to do some crowdsurfing, jumped off the stage and...   Milly: ...and broke his leg?   Jackie: No, he ended up falling on this huge biker guy and they both ended up covered in beer   Milly: Ouch! So did that biker guy break his leg then?   Jackie: No! No broken leg, apparently he said ""that rocked, young fellow"" and they invited him on stage where they all got drunk after the show   Milly: So what happened to his leg?   Jackie: After the show he was so drunk that he started kicking a big dog and the dog bit his leg   Milly: Oh come on, it seems to me that you're the drunk one here XD","Jason jumped off the stage yesterday where he was crowdfunding for his new band. He landed on a big biker guy who liked his behaviour. The bike invited the biker on stage where they all got drunk after the concert. After the show, Jason kicked a dog and it bit his leg.","   Jackie and Milly were discussing Jason, who had recently joined a punk band. Last night, he attempted crowdsurfing and ended up falling on","   Jackie and Milly are discussing a story about Jason, who joined a punk band and attempted to crowdsurf off the stage. He ended up"
Leon: honey I left work early   Leon: I thought I could fetch Millie from school and make some dinner?   Hallie: oh that would be heaven!   Leon: <file_gif>   Leon: what time does Millie finish?   Hallie: today its' 4 p.m.   Leon: okie dokie   Leon: I'll buy some chicken thighs and potatoes for dinner then   Hallie: <file_gif>   Hallie: see you in the evening!   Leon: <file_gif>,Leon finished his work earlier. He will pick up Millie from school at 4 p.m. and make chicken thighs and potatoes for dinner.,   Leon and Hallie are discussing Leon leaving work early to pick up their daughter Millie from school and make dinner. Hallie is excited about the idea,     Leon offered to leave work early to pick up Millie from school and make dinner. Hallie accepted the offer and told Leon that Millie finishes
"Melissa: Harry, I am so stressed 'cause of this stupid exam on Monday!   Harry: No worries Mel, everything will be fine. You've studied hard for a long tme! :)   Melissa: But Hawkins hates me, I am sure the questions will be hard :(   Harry: Try to stay positive!    Melissa: Easier said than done... You are a genius  and don't have to worry about such stuff:/   Harry:  Everyone worries Mel, even geniuses XD",Melissa is stressed before an exam on Monday.,"   Harry tries to reassure Melissa that she will do fine on her upcoming exam, despite her worries that her teacher, Hawkins, hates her. Melissa is not",   Melissa is stressed about an upcoming exam on Monday and is worried that the questions will be hard because her professor doesn't like her. Harry tries to
"Clara: I have an interview tomorrow!   Sophie: Wow, congratulations! Where? :)   Clara: PwC :D   Monica: Well done! Fingers crossed!   Clara: Yeah, but they’re quite strict when it comes to dress code and I don’t have anything formal to wear.   Sophie: What size are you?   Clara: 36, generally   Sophie: Ok, I may have something for you. Will this jacket be all right?   Sophie: <file_photo>   Monica: It’s great! Just wear this, white t-shirt and you’re good to go!   Clara: Looks amazing, will pop to yours to give it a try :)",Clara has an interview in PwC tomorrow. She doesn't have anything formal to wear. She's size 36. Sophie will lend her a jacket. Clara will go to Sophie's place to try it.,   Clara has an interview at PwC tomorrow and is worried about not having anything formal to wear. Sophie offers to lend her a jacket and Monica,"   Clara has an interview at PwC tomorrow and is worried about not having anything formal to wear. Sophie and Monica offer to help her out,"
"Ruby: What about this? <file_other>   Lisa: Seared sausage with cabbage and pink lady apples? I'd have to check if I have all the ingredients.   Tony: Oh yeah! I made this last week! Delicious!   Ruby: You need: olive oil, sweet Italian sausage, apples, red onion, red cabbage, salt, black pepper, apple cider, cider vinegar.   Lisa: Out of sausages, cabbage and cider. Sorry, need another idea.",Ruby suggests a dish for Lisa to cook but she doesn't have the necessary ingredients.,"   Ruby suggested seared sausage with cabbage and pink lady apples, to which Tony said he had made it the week before and it was delicious. Ruby then","   Ruby suggested making seared sausage with cabbage and pink lady apples, but Lisa realized she was out of some of the ingredients. Tony mentioned he had made"
"Lawrence: Papa you're at home in the evening? When are you leaving?   Papa: On Wednesday. Yes, I'm at home all day long.   Lawrence: I'll pop in after jogging. Shorty before seven.   Papa: Do so! You want to say goodbye?   Lawrence: Just wanna see you. Shall we have a meal together, with Anna and Pat, before you go?   Papa: Would be nice. My treat then.   Lawrence: On Sunday? Lunch?   Papa: Brunch in Schlosscafe. OK?   Lawrence: Good. Will you phone Pat?   Papa: :(   Lawrence: OK I will.   Papa: Thank you, son. Nothing against her, just prefer not to have to talk her.   Lawrence: I see. No pro.   Lawrence: What time shall we make it?   Papa: 12ish?   Lawrence: Suits fine. No booking necessary?   Papa: I'd better make one as it's Sunday.   Lawrence: I'll come and C U anyway tonight.   Papa: I'll put beer in the fridge.   Lawrence: And something to eat? Haven' t had lunch today.   Papa: I'll fix you something nice.    Lawrence: Ta papa! Cheers!","Papa is leaving on Wednesday. Papa will meet with Lawrence, Anna and Pat on Sunday for a brunch in Schlosscafe around 12. Lawrence will visit Papa tonight. Papa will prepare something to eat for him.",   Lawrence and Papa are making plans for a Sunday brunch with Anna and Pat. Papa will treat them and they plan to meet at Schlosscafe,"   In this conversation, Lawrence and Papa are discussing plans for a meal with Anna and Pat before Papa leaves on Wednesday. They decide to have brunch at Sch"
"Katia: Have you tried Ligh Lunch catering?   Maya: Yes!   Katia: Is it good?   Maya: The best so far.    Katia: ok, thx!","According to Maya, Ligh Lunch catering is the best food service so far.",   Katia asked Maya if she had tried Ligh Lunch catering and Maya said yes. Katia then asked if it was good and Maya said it was,   Maya has tried Ligh Lunch catering and found it to be the best so far. Katia thanked her for the information.
"Ed: I'm going to get some coffee, anyone?   Steve: wait for me plz   Monica: one latte for me please!!! thank you :*   Ed: Ok. Patty?   Steve: I'm going for a smoke in 3 minutes, wait for me downstairs   Patty: no thanks, I'm fine",Ed and Steve are going to get some coffee in 3 minutes. Monica wants one too but Patty doesn't want one.,"   Ed asked if anyone wanted coffee, Monica asked for a latte, and Ed asked Patty if she wanted anything. Steve said he was going for a","     Ed offered to get coffee for everyone, but Patty declined. Steve asked Ed to wait for him before going, as he was going for a smoke"
Tyler: You want me to bring Cold coffee or Ice cream shake   Anna: Coffee   Tyler: Ok Coming back in 10 minutes. <3 ,Tyler will bring Anna cold coffee in 10 minutes. ,"   Tyler asked Anna if she wanted him to bring cold coffee or an ice cream shake, and Anna chose coffee. Tyler said he would be back in 10",   Tyler is going to get coffee for Anna and will be back in 10 minutes.
"Snape: Have you made any group for robotics project??    Eva: No, not yet   Snape: Can I be your group partner   Eva: Yeah sure   Snape: Thank you",Snape wants to be in the group for robotics project with Eva. She agreed to that.,"   Snape asked Eva if she had made a group for her robotics project yet, and when she said no, he asked if he could be her group", so much     Snape asked Eva if she had made a group for the robotics project and requested to be her partner. Eva agreed and Snape thanked her
"Devlin: u have new bad?   Kira: yes, I bought it this weekend   Devlin: verry nice!    Devlin: Where?   Kira: there's a new shop near my house   Devlin: u need to show me   Kira: sure, anytime:)",Kira bought a new bed this weekend at a new shop near her house. ,"   Kira bought a new item this weekend from a new shop near her house, and Devlin is excited to see it. Kira offered to show it","   Kira bought a new bag this weekend from a new shop near her house, and Devlin is interested in seeing it."
"Taylor: What music do you listen to?   Valerie: Y?   Taylor: OMG. Can't u just say?   Valerie: Don't be so touchy! Country, pop, a bit of rock and sometimes rap.   Taylor: I've got some good news 4 u :)   Valerie: Rly? What is it?   Taylor: I have 2 tickets 2 a rock concert :)   Valerie: And? :)   Taylor: Would u like to come with me?   Valerie: Sure!",Taylor wants to go to a rock concert with Valerie. She agreed to go with Taylor.,"   Taylor asked Valerie what kind of music she listens to and Valerie replied with Country, Pop, Rock, and Rap. Taylor then told Valerie he had good"," In this conversation, Taylor asked Valerie what kind of music she listens to and Valerie responded with a list of genres. Taylor then revealed that he has two tickets to"
"Jake: Anyone free for movie after class on Friday?   Jimmy: Sure, I have just one thing in library to do, but yeah   Dom: I can't, gotta help out my mom   Jimmy: Mama's boy:D good son:D   Dom: Fuck off:D Gotta help out my mama","Jimmy will watch a movie with Jake after class on Friday. Dom needs to help out his mom, so he cannot join Jimmy and Jake.","   Jake asked if anyone was free for a movie after class on Friday, Jimmy said he had one thing to do in the library but could make it,"," Jake and Jimmy are planning to go to the movies after class on Friday, but Dom is unable to join them due to having to help his mother."
Harrison: Bro. Which is you favourite Avenger.   Mike: The Black Panther is the gaffer.   Harrison: Haha. Because he has the African Accent?   Mike: No man! his moves are just top class.   Mike: I am starting to wonder who is yours   Harrison: I will go for Captain America who looks more realistic but lethal   Mike: Alright🙄,Mike's favourite Avenger is the Black Panther. Harrison's - Captain America.,"   Harrison and Mike are discussing their favorite Avengers. Harrison prefers Captain America because he looks more realistic and lethal, while Mike prefers the Black Panther because of"," In this conversation, Harrison and Mike are discussing their favorite Avengers. Harrison prefers Captain America for his realistic yet lethal look, while Mike prefers the Black Panther for his"
"Ashley: Karen, I loved your presentation.   Karen: Thanks, dear 😘   Peter: It was great!   Ashley: I loved the anecdotes    Ashley: It was so interesting   Karen: I'm happy you liked it   Karen: 🙃",Karen had a presentation. Peter and Ashley participated and liked it.,"   Ashley and Peter both enjoyed Karen's presentation, with Ashley particularly appreciating the anecdotes. Karen was pleased that they liked it.","   Karen gave a presentation which Ashley and Peter enjoyed, with Ashley particularly appreciating the anecdotes. Karen is pleased that they liked it."
"Betty: what did you tag me in haha   Daria: it's for a contest :D   Betty: you're spamming me!   Daria: but if I win, I win a trip to Thailand!   Daria: for two ;)   Betty: lmao   Betty: if you win, you gonna take me right?   Daria: obvs   Betty: <3   Betty: ok how do we increase our chances of winning?   Daria: you have to tag 2 people and like the page as well   Betty: oh come on, then those people will expect me to take them XD   Daria: yeah but I tagged you first, so I have priority over them :D   Betty: <file_gif>   Betty: Thailand here we come B)","If Betty and Daria win the contest, they will go to Thailand.","   Daria and Betty are discussing a contest that Daria entered them into, where the prize is a trip to Thailand for two. Betty is initially annoyed","     Betty and Daria are discussing a contest that could win them a trip to Thailand. To increase their chances of winning, they need to tag"
Holly: When is payday?   Gerard: tomorrow   Holly: That's great because I'm broke.   Gerard: lol,The payday is tomorrow. Holly is broke.,"   Holly and Gerard are discussing payday, and Holly is excited because she is broke and payday is tomorrow. Gerard finds her comment humorous and responds with """,", me too.   Holly and Gerard are both broke and looking forward to payday tomorrow."
"Eloise: i guess i need a new mobile   Tamsin: why? what?   Eloise: my old nokia slowly dies   Sheldon: what you looking for?   Eloise: not i shit for sure. sth cheaper   Miles: xiaomi?   Eloise: dunno. i guess i'd prefer huawei or lg   Miles: <file_photo> how about this one?   Eloise: looks promising   Sheldon: i heard it's a bit slow in the long run   Miles: yeah but it can be upgraded. 2 cards. good camera   Eloise: sheldon anything you recommend?   Sheldon: i'm an old nokia lover so i'm not really objective   Miles: he is, true. but the new nokia is worth a look   Eloise: perhaps i'll give it a try","Eloise needs a new phone, but not iPhone, something less expensive. Miles recommends a phone, Eloise thinks it's promising, Sheldon recommends Nokia. ",   Eloise is looking for a new mobile phone and Miles and Sheldon are giving her advice. Miles suggests Xiaomi and shows her a photo of a phone,"   In this conversation, Eloise is looking for a new mobile phone and Miles and Sheldon are giving her advice. Miles suggests Xiaomi, Huawei, or LG"
Charlie: just got a new high score!   Archie: cool!   Archie: how much?   Charlie: 152.374   Charlie: almost 25000 more then the last one   Archie: grats   Archie: how long it took?   Charlie: around 15 tries   Charlie: still feel that I can do better   Archie: nobody stopping you   Charlie: need to finish homework first or my parents will kill me   Charlie: cya at school,"Charlie has just achieved his highest score of 152374, which is almost 25000 more than the previous one. It took him around 15 attempts. He needs to do this homework not to anger his parents.","   Charlie just got a new high score of 152.374, which was almost 25000 more than the last one. It took him around 15 tries and"," tomorrow     Charlie achieved a new high score of 152.374, which was almost 25000 more than his last score. It took him around 15 tries"
"Laura: I hate this time before xmas!   Laura: I'm frreezing and all the shops r so crowded!    Daniel: my poor little girl...   Daniel: fuck it and come to my place    Daniel: there's a lot of wine :D   Laura: I can't fuck it but I can be 22 at yr place ;-)   Laura: and wine is always a good idea   Daniel: ok, me and wine will be waiting;-)",Laura will come to Daniel at 22. Daniel will be waiting for her with wine. ,   Daniel offered Laura a place to stay and some wine to help her get through the stressful pre-Christmas season. Laura accepted the offer and joked that she,"   Laura and Daniel are making plans to meet up at Daniel's place, where there will be wine. Laura is feeling stressed about the pre-Christmas season"
Ginger: hi   Ginger: can you help me?   Willow: ofc   Ginger: i need falsies for onight   Willow: but you know that it is something like toothbrush   Willow: you cannot take mines   Ginger: oh i understand,Ginger wants to borrow Willow's falsies but Willow says no.,"   Ginger asked Willow for help with falsies for the night, but Willow reminded her that it was something like a toothbrush and that she couldn't","   In this conversation, Ginger asked Willow for false eyelashes for the night, but Willow informed her that it is not something that can be shared, like a"
Hailee: Hello walker. Where were you during class time?   Walker: I was not feeling well. I had to go to the hospital.   Hailee: Sorry about that. Hope you get well soon   Walker: Thanks.,Walker was in hospital during class time.,"   Hailee asked Walker where he was during class time, and Walker replied that he was not feeling well and had to go to the hospital. Hailee", I'm feeling better now.   Hailee asked Walker where he was during class time and Walker replied that he had to go to the hospital because he was
"Kamil: Hey   Thomas: Hey, what's up?   Kamil: I've been wondering if you want to go bowling tomorrow   Thomas: nice, who else is coming?   Kamil: me, Godek and Prosty with his girl   Thomas: Hmm...   Kamil: come on, it will be fun   Thomas: Well, ok!   Kamil: Great!   Thomas: one more thing   Kamil: Ye?   Thomas: Can I bring my girlfriend?   Kamil: Sure thing, more people more fun   Thomas: Good, when and where exactly are we going there?   Kamil: 8PM at the same place as the last time   Thomas: Ok, see you there   Kamil: See you!","Kamil, Thomas with his girlfriend, Godek and Prosty with his girl are going bowling tomorrow at 8 p.m. at the same place as the last time.","   Kamil and Thomas are planning to go bowling tomorrow with Godek, Prosty and their respective partners. They will meet at 8PM at the","   Kamil has invited Thomas to go bowling with him, Godek and Prosty with his girl. Thomas has asked if he can bring his girlfriend"
"Maggie: What are you doing this weekend?   Liz: Dunno. Probably studying. Why?   Maggie: I thought we could go to the movies. Do you really have to study all the time?   Liz: I've got a test on Monday.    Maggie: And the weekend is looong :P   Liz: What movie?   Maggie: Yay, I knew it!   Liz: Am I so predictable? :P   Maggie: Yup. Totally. “Bohemian Rhapsody”. My brother has just seen it and says it's awesome.   Liz: Yeah, I've read pretty good reviews. But let's go on Saturday, this way I'll still have the whole Sunday left for studying.   Maggie: Sure thing. And maybe we could also go shopping? I need a new scarf.   Liz: What happened to that blue one you bought last week?   Maggie: Nothing. I just need one more. Come on, Liz, you know me :P   Liz: Yeah, yeah, you're crazy about scarves. OK, I checked it, Saturday, 1 p.m. First cinema, then shopping.   Maggie: And then pizza! :D   Liz: Sounds like a plan! See u on Saturday then.   Maggie: See u!","Liz has to study this weekend but finds time to go to the cinema, go shopping and have a pizza with Liz on Saturday. The movie starts at 1 p.m.","   Maggie and Liz are making plans for the weekend. Maggie suggests going to the movies and Liz agrees, but suggests going on Saturday so she can","   Maggie and Liz are planning to go to the movies, go shopping, and have pizza this weekend. Maggie wants to buy a new scarf and"
"Tim: Guys, I want to tell you something   Tim: I know it's a strange place and moment   Tim: but I decided to become open about it   Jim: go on!   Tim: I have HIV   Jim: it's nothing really important fo me Tim   Laura: of course! are you doing well? on treatment?   Tim: yes very well, I just didn't want to keep it secret anymore   Peter: great decision! you're not the only one I know and I know it's nothing to be really worried about   Tim: you're great guys!   Laura: we love you!",Tim has HIV. Peter and Laura are very supportive.,"   Tim revealed to his friends that he has HIV, and they were all very supportive and understanding. Laura asked if he was doing well on treatment, and",   Tim revealed to his friends that he has HIV and they were supportive and understanding. They reassured him that it was nothing to be worried about and expressed their
"Coleen: heyyyyyy   Coleen: have you heard they are remaking pet sematary   Glenn: what's that?   Glenn: never heard of it   Coleen: you've never heard of it???   Coleen: it's a stephen king classic!!!   Glenn: is that the one about the cats coming back to life?   Glenn: i know you are a horror fan…   Glenn: and I don't mean to offend you…   Glenn: but that sounds really stupid lol :-/ sorry   Coleen: i thought you liked horror movies   Glenn: not really, you must have me confused with someone else   Coleen: didn't we watch friday the 13th together?   Glenn: we did but I hated it   Glenn: they're so silly   Coleen: i thought you would be excited about this remake   Glenn: you should ask sarah to go see it with you when it comes out   Glenn: she loves horror movies   Coleen: yeah that would be fun",There will be a remake of 'Pet Sematary' by Stephen King. Coleen is a fan of horrors. Coleen and Glenn watched 'Friday the 13th' together and Glenn hated it. ,"   Glenn and Coleen are discussing the remake of the Stephen King classic, Pet Sematary. Glenn has never heard of it and when Coleen","   Coleen: thanks for the suggestion   Glenn: no problem   Coleen and Glenn are discussing a remake of the Stephen King classic, Pet Semat"
"Paul: Are we going shopping this afternoon?   Ashley: Yes of course, we still haven't bought Christmas gifts!   Paul: Just great, I love buying presents for your family XD   Ashley: Believe me I know how special they are!   Paul: So I'm leaving work about 3.30 p.m. and we meet near the Queens Place Mall?   Ashley: Yeah, I'll be there around 4   Paul: Do we have some ideas about what to buy?   Ashley: Well I do have some ideas, I don't know how about you :)   Paul: Very funny, see you there!   Ashley: See you :*",Paul and Ashley are going to buy Christmas gifts for Ashley's family. They meet near the Queens Place Mall at around 4.,   Paul and Ashley are planning to go shopping this afternoon to buy Christmas gifts for Ashley's family. They plan to meet near the Queens Place Mall at 4,   Paul and Ashley are planning to go shopping for Christmas gifts this afternoon. They will meet near the Queens Place Mall at 4 p.m. Ashley has
"Joan: Where do you live actually   Miley: Waterbury   Joan: Nebraska?   Miley: Connecticut of course   Joan: the Brass City!   Miley: hahah, yes! how come you know it?   Joan: I had a boyfriend from Connecticut    Miley: nice:)",Miley lives in Connecticut. Joan had a boyfriend from Connecticut. ,"   Joan and Miley are discussing where Miley lives. Miley reveals that she lives in Waterbury, Connecticut, and Joan recognizes it as the","   Miley lives in Waterbury, Connecticut, which is also known as the Brass City. Joan had a boyfriend from Connecticut and knew of the city."
"James: Are you still stressed out?   Sarah: Yes ☹ Lots of stress at home, at work and just everywhere   James: Listen up, do you know that if you continue to be stressed out you’re gonna have memory loss before you turn 50?   Sarah: Really?   James: There’s been a study which revealed that the brain could be gradually damaged in a relatively young age long before any symptoms could be seen   Sarah: Easier said than done. It’s impossible to live without stress!    James: You can try. I’ll help you",Sarah is stressed out all the time. James warned her of the dangers of long-term stress. James wants to help Sarah.,".   James warned Sarah that if she continued to be stressed out, she could experience memory loss before she turns 50. Sarah was skeptical, but James offered",".
James and Sarah discussed the effects of stress on the brain, with James warning Sarah that it could lead to memory loss before she turns 50. Sarah expressed"
"Mica: Hey, I really liked your book review. very insightful.   Andy: Thanks! It was a challenging book to write about, but fun too.   Mica: Im going to post it on the website Tuesday and will let you know once its live.   Andy: Thanks! I can't wait to hear what others think.   Mica: It should get a lot of hits.   Andy: excellent   Mica: :)",Mica praises Andy's book review. Mica is going to post the review on the website on Tuesday then let Andy know. They expect it to be popular.,   Mica and Andy are discussing Andy's book review. Mica liked it and is going to post it on the website Tuesday. Andy is excited to,   Mica and Andy are discussing a book review that Andy wrote. Mica is going to post it on a website and Andy is looking forward to hearing
Jay: I am waiting by the Washroom    Kale: Cant see u   Kale: Oh okay nevermind I see u ,Jay is waiting for Kale by the Washroom.,"   Jay and Kale were meeting by the washroom, and Kale initially couldn't see Jay, but then realized they were there.","   Jay and Kale are meeting by the washroom, and Kale initially couldn't see Jay but then spotted him."
"Mary: Where the hell are you? Becky's singing in five minutes   Jacob: running late, sorry hun   Mary: you're going to explain this to her   Jacob: come on, there's a traffic   Mary: don't care, bye",Jacob is stuck in traffic and will be late to hear Becky sing.,"   Mary is angry with Jacob for being late to Becky's singing performance. Jacob tries to explain that there is traffic, but Mary does not care and tells",     Mary is angry with Jacob for being late and tells him he will have to explain it to Becky. Jacob tries to explain that there is a traffic
"Kyle: Are we going to watch the game?   Kian: sure, but where?   Jodie: My place?   Kian: I'd prefer some pub   Kyle: me too, beer, crowd, it's a nice atmosphere    Jodie: There is a nice bar next to my place   Jodie: at Kendall Sq   Kyle: ok, we can try sth new   Kian: I'll be free at 7pm, will take a shower and we can meet at 8   Kyle: when does the match start?   Kian: 8.30   Jodie: no, 8   Jodie: I've just check, they've moved it because of the weather forecast   Kian: ok, then I have to leave earlier   Kian: I'll write you in the afternoon   Kyle: ok!","Kyle, Kian and Jodie agree to watch the game in a bar at Kendall Sq. The match starts at 8 o'clock.","   Kian, Kyle, and Jodie are planning to watch a game together. They decide to go to a bar near Jodie's place","   Kian and Kyle want to watch the game at a pub, and Jodie suggests a bar near her place. Kian will be free at"
Anna: Nice dress :-)   Zoe: thx   Anna: Zara?   Zoe: C&A   Anna: ok. Must check it :-),Anna likes Zoe's C&A dress.,"   Anna complimented Zoe on her dress, and when Zoe said it was from C&A, Anna said she must check it out.",   Anna and Zoe are discussing a dress that Zoe is wearing. Zoe reveals that it is from C&A and Anna expresses interest in checking it out.
"Theo: pizza!   May: Already?!   Theo: Do you have cash? They don't accept credit cards :/   Theo: May?   May: I do, no worries, be there in 5","Theo has pizza, May will be there in 5 with cash. ","   Theo asked May if she wanted to get pizza, and when May said yes, Theo asked if she had cash since the place doesn't accept credit","!   Theo wants to get pizza and asked May if she has cash, as the place doesn't accept credit cards. May has cash and will be"
